BAT/00000638,14012
190198000934,231695
190198001733,240004
190198001795,239974
190198005502,231668
190198005557,231676
190198107077,240008
190198110046,236148
190198110046 PLOMBA,235166
190198110107,235300
190198110107 PLOMBA,235297
190198110169,239338
190198110169 PLOMBA,239617
190198110220,236116
190198110220 PLOMBA,236103
190198110589 PLOMBA,236147
190198110640 PLOMBA,235223
190198110701 PLOMBA,239598
190198110763,236119
190198110763 PLOMBA,236118
190198111678 PLOMBA,240694
190198111692 PLOMBA,240711
190198111715 PLOMBA,237016
190198111760 PLOMBA,241325
190198111807 PLOMBA,240702
190198111814 PLOMBA,235213
190198111838 PLOMBA,235196
190198112187,235324
190198112187 PLOMBA,235316
190198117908,241538
190198231291,235138
190198231291 PLOMBA,235134
190198231345 PLOMBA,239604
190198371539,240733
190198371553,240726
190198371553 PLOMBA,240905
190198371577 PLOMBA,240748
190198371652,240730
190198371690,246533
190198371690 PLOMBA,240740
190198371737,237036
190198371737 PLOMBA,237029
190198375803,244470
190198375926,241009
190198376701,241248
190198376701 PLOMBA,241208
190198376756,239011
190198377104 PLOMBA,237573
190198377159,235118
190198377159 PLOMBA,235110
190198377203,239345
190198378057 PLOMBA,235345
190198378101 PLOMBA,239611
190198378156 PLOMBA,236069
190198378200,239053
190198378200 PLOMBA,239627
190198378255,235799
190198378255 PLOMBA,235797
190198378309 PLOMBA,239618
190198378354 PLOMBA,241127
190198378408 PLOMBA,238461
190198378453,239000
190198378453 PLOMBA,238687
190198378507 PLOMBA,238679
190198378552,235309
190198378552 PLOMBA,235308
190198378606,239736
190198378606 PLOMBA,239594
190198383198,241425
190198383266,235206
190198383266 PLOMBA,235210
190198383297,235200
190198383297 PLOMBA,235202
190198383419,241430
190198383426,241396
190198383464,241417
190198383495,241403
190198383570,241409
190198390332,232837
190198390356,231728
190198415028 PLOMBA,238896
190198415073 PLOMBA,241225
190198415578 PLOMBA,241112
190198442024,235069
190198445766,233570
190198447470,239820
190198447470 PLOMBA,239833
190198495129,235077
190198496836,244483
190198504593,233295
190198504791,241527
190198522771,231787
190198578662 PLOMBA,238787
190198578747 PLOMBA,241132
190198579782 PLOMBA,238588
190198579829,241243
190198579829 PLOMBA,235805
190198579867 PLOMBA,239508
190198579904 PLOMBA,238534
190198580184 PLOMBA,237534
190198580269 PLOMBA,237532
190198580306 PLOMBA,241199
190198580702 PLOMBA,235161
190198580740,241286
190198580740 PLOMBA,238496
190198580788 PLOMBA,235121
190198580825 PLOMBA,235162
190198580863 PLOMBA,239626
190198580900 PLOMBA,241192
190198580948 PLOMBA,236144
190198580986 PLOMBA,238500
190198581020,241298
190198581020 PLOMBA,235179
190198581068 PLOMBA,235177
190198581105 PLOMBA,238477
190198581143,241289
190198581143 PLOMBA,235139
190198581181 PLOMBA,235793
190198581228 PLOMBA,238467
190198581266 PLOMBA,238479
190198581341 PLOMBA,239590
190198582102 PLOMBA,241070
190198582188,241255
190198582188 PLOMBA,241073
190198582225 PLOMBA,235159
190198582263 PLOMBA,238698
190198582300 PLOMBA,239396
190198582348 PLOMBA,236730
190198582386 PLOMBA,241064
190198582423,239366
190198582423 PLOMBA,239462
190198582508 PLOMBA,239458
190198582546 PLOMBA,235160
190198582584 PLOMBA,235305
190198582621 PLOMBA,235348
190198582669 PLOMBA,236705
190198582706 PLOMBA,236702
190198609519 PLOMBA,238790
190198616456,239948
190198625618,241247
190198625649,239889
190198625649 PLOMBA,235806
190198718334 PLOMBA,239616
190198718365 PLOMBA,238521
190198718396 PLOMBA,238508
190198718426 PLOMBA,239602
190198718457 PLOMBA,238471
190198718488,239335
190198718488 PLOMBA,239587
190198718518,238999
190198718518 PLOMBA,238485
190198718570 PLOMBA,241121
190198718662 PLOMBA,241114
190198718754 PLOMBA,241078
190198718846 PLOMBA,238694
190198718969 PLOMBA,241190
190198719058 PLOMBA,241106
190198719119 PLOMBA,241110
190198729774 PLOMBA,238591
190198729804,239298
190198729804 PLOMBA,238529
190198729835 PLOMBA,238526
190198729866 PLOMBA,239507
190198732064 PLOMBA,239510
190198732125 PLOMBA,241108
190198732187 PLOMBA,239443
190198734921,235217
190198734945,239917
190198737861,244012
190198738233,241532
190198738417,241536
190198763129,231836
190198763228,238424
190198763280,244371
190198763365,239817
190198763747,232791
190198763761,232905
190198763822,233019
190198763846,233565
190198798350,239920
190198834560,240948
190198845795 PLOMBA,241218
190198845948 PLOMBA,238877
190198846068 PLOMBA,239401
190198846518,248060
190198846600,248076
190198846600 PLOMBA,239402
190198847355,239355
190198847355 PLOMBA,239655
190198847713,239039
190198847713 PLOMBA,239374
190198895851,237064
190198895851 PLOMBA,237059
190198896018 PLOMBA,239845
190198896056,240671
190198896056 PLOMBA,240664
190198896230,240755
190198896230 PLOMBA,240750
190198896292 PLOMBA,241350
190198896391,241348
190198896407,240000
190198896407 PLOMBA,235834
190198896612,240681
190198896629 PLOMBA,241316
190198896650,240676
190198896674 PLOMBA,240804
190198896865 PLOMBA,239844
190198896889 PLOMBA,240800
190198896957,240682
190198896988,235847
190198896988 PLOMBA,235850
190198896995 PLOMBA,239835
190198898692 PLOMBA,241185
190198898739 PLOMBA,239644
190198900586,239935
190198905048,239959
190198914439,239984
190198936981,245108
190199118881 PLOMBA,238703
